"Date","Open","High","Low","Close","Volume"
"May 30, 2013","2,333.50","2,348.65","2,316.50","2,340.00","792,329"
"May 29, 2013","2,370.00","2,391.00","2,333.00","2,346.00","645,816"
"May 28, 2013","2,370.00","2,380.00","2,353.65","2,362.20","529,369"
"May 27, 2013","2,341.20","2,386.00","2,330.30","2,362.00","415,646"
"May 24, 2013","2,361.60","2,385.00","2,334.00","2,360.00","461,081"
"May 23, 2013","2,376.00","2,419.25","2,356.15","2,356.65","637,573"
"May 22, 2013","2,400.00","2,433.00","2,378.25","2,383.10","780,709"
"May 21, 2013","2,370.20","2,417.05","2,366.95","2,397.30","707,516"
"May 20, 2013","2,346.00","2,383.00","2,344.00","2,376.80","1,094,786"
"May 17, 2013","2,336.90","2,369.00","2,335.00","2,352.00","803,969"
"May 16, 2013","2,353.50","2,359.80","2,313.25","2,334.00","873,969"
"May 15, 2013","2,353.00","2,372.70","2,347.40","2,352.00","1,111,647"
"May 14, 2013","2,337.30","2,370.80","2,337.30","2,350.00","560,556"
"May 13, 2013","2,355.00","2,362.15","2,330.30","2,339.60","626,870"
"May 10, 2013","2,362.10","2,385.00","2,357.10","2,371.00","566,755"
"May 9, 2013","2,351.90","2,368.90","2,350.00","2,363.30","570,178"
"May 8, 2013","2,365.00","2,380.00","2,338.05","2,355.10","909,794"
"May 7, 2013","2,350.00","2,355.00","2,324.75","2,347.15","872,888"
"May 6, 2013","2,315.00","2,345.00","2,315.00","2,341.00","750,013"
"May 3, 2013","2,296.75","2,324.00","2,278.20","2,309.00","1,139,649"
"May 2, 2013","2,236.00","2,291.45","2,236.00","2,288.00","1,172,023"
"Apr 30, 2013","2,234.00","2,242.35","2,222.20","2,232.00","1,105,090"
"Apr 29, 2013","2,206.00","2,248.80","2,186.00","2,231.05","1,120,710"
"Apr 26, 2013","2,220.10","2,237.80","2,202.50","2,210.05","1,391,198"
"Apr 25, 2013","2,248.00","2,250.00","2,223.15","2,233.00","1,720,293"
"Apr 23, 2013","2,250.00","2,270.60","2,244.40","2,261.00","983,745"
"Apr 22, 2013","2,291.60","2,293.00","2,223.55","2,245.00","1,925,161"
"Apr 18, 2013","2,286.40","2,323.00","2,281.30","2,295.00","1,653,046"
"Apr 17, 2013","2,300.00","2,311.95","2,250.00","2,280.05","1,893,643"
"Apr 16, 2013","2,319.00","2,326.00","2,287.00","2,293.00","1,787,717"
"Apr 15, 2013","2,290.00","2,357.00","2,204.00","2,325.90","8,319,997"
"Apr 12, 2013","2,625.05","2,625.05","2,268.70","2,273.05","12,253,468"
"Apr 11, 2013","2,866.50","2,935.60","2,834.90","2,915.00","2,127,334"
"Apr 10, 2013","2,803.00","2,827.80","2,776.25","2,805.20","818,952"
"Apr 9, 2013","2,833.55","2,838.95","2,756.25","2,770.00","1,355,082"
"Apr 8, 2013","2,850.00","2,873.65","2,827.25","2,833.20","464,545"
"Apr 5, 2013","2,879.00","2,899.00","2,850.00","2,853.00","546,620"
"Apr 4, 2013","2,945.00","2,949.15","2,872.05","2,880.00","937,495"
"Apr 3, 2013","2,948.90","2,999.55","2,948.00","2,957.00","1,044,434"
"Apr 2, 2013","2,930.00","2,989.70","2,914.85","2,962.50","1,215,111"
"Apr 1, 2013","2,910.75","2,953.55","2,910.75","2,939.50","927,755"
"Mar 28, 2013","2,865.00","2,896.95","2,851.20","2,885.00","1,543,506"
"Mar 26, 2013","2,845.00","2,869.65","2,834.00","2,852.80","426,948"
"Mar 25, 2013","2,845.20","2,865.00","2,832.65","2,851.30","629,607"
"Mar 22, 2013","2,849.95","2,875.50","2,830.00","2,860.00","921,286"
"Mar 21, 2013","2,883.00","2,894.50","2,862.00","2,875.00","1,242,510"
"Mar 20, 2013","2,864.80","2,874.70","2,827.55","2,871.55","1,124,330"
"Mar 19, 2013","2,875.00","2,886.20","2,841.10","2,860.45","1,497,018"
"Mar 18, 2013","2,866.25","2,890.00","2,851.00","2,859.00","805,853"
"Mar 15, 2013","2,876.35","2,911.65","2,868.05","2,877.90","907,599"
"Mar 14, 2013","2,866.00","2,888.90","2,842.90","2,878.75","1,041,540"
"Mar 13, 2013","2,890.00","2,890.00","2,850.10","2,858.15","1,341,267"
"Mar 12, 2013","2,940.00","2,944.70","2,912.00","2,912.00","714,257"
"Mar 11, 2013","2,981.80","2,990.00","2,930.00","2,947.00","608,270"
"Mar 8, 2013","2,988.00","2,989.00","2,957.25","2,970.50","770,362"
"Mar 7, 2013","2,981.25","3,009.80","2,980.00","3,006.00","1,714,420"
"Mar 6, 2013","2,947.00","2,976.70","2,926.25","2,972.00","1,525,685"
"Mar 5, 2013","2,924.55","2,939.40","2,913.25","2,920.00","896,493"
"Mar 4, 2013","2,926.00","2,942.50","2,872.15","2,905.00","1,263,540"
"Mar 1, 2013","2,914.00","2,961.40","2,892.00","2,925.00","1,051,829"
"Feb 28, 2013","2,915.30","2,935.85","2,885.40","2,916.15","1,476,013"
"Feb 27, 2013","2,948.00","2,948.00","2,902.10","2,920.00","878,720"
